OBJECTID,ADDRTYPE,LOCATION,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,HITPARKEDCAR
218432,Intersection,BROOKLYN AVE NE AND NE 65TH ST,2b,Serious Injury Collision,Angles,3,1,0,2,3,1,0,2020/08/02 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218433,Block,N 104TH ST BETWEEN LINDEN AVE N AND AURORA AVE N,0,Unknown,NA,2,0,0,0,0,0,0,2020/07/20 00:00:00+00,NA,NA,NA,NA,NA,Y
218434,Intersection,5TH AVE AND SENECA ST,1,Property Damage Only Collision,Other,2,0,0,2,0,0,0,2020/07/16 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218435,Block,SW AVALON WAY BETWEEN 30TH AVE SW AND SW GENESEE ST,1,Property Damage Only Collision,Head On,3,0,0,2,0,0,0,2020/06/08 00:00:00+00,N,Clear,Dry,Dawn,NA,N
218436,Intersection,3RD AVE NW AND NW 120TH ST,2,Injury Collision,Angles,3,0,0,2,3,0,0,2020/09/11 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218438,Block,NE 42ND ST BETWEEN 9TH AVE NE AND ROOSEVELT S WAY NE,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020/09/10 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218440,Block,S HOLGATE ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,3,Fatality Collision,NA,2,0,0,0,0,0,1,2020/10/02 00:00:00+00,NA,NA,NA,NA,NA,N
218441,Alley,NA,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020/06/13 00:00:00+00,N,Overcast,Dry,Daylight,NA,N
218442,Block,LAKE PARK DR S BETWEEN LAKE WASHINGTON BLVD S AND SHORELAND DR S,2,Injury Collision,Other,5,0,0,1,3,0,0,2020/08/23 00:00:00+00,N,Clear,Dry,Dusk,NA,N
218444,Intersection,9TH AVE SW AND SW ROXBURY ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020/06/26 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218446,Intersection,SWIFT AVE S AND S GRAHAM ST,2,Injury Collision,Left Turn,7,0,0,3,4,0,0,2020/09/02 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218447,Intersection,14TH AVE S AND S OREGON ST,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2020/07/19 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218448,Intersection,5TH AVE S AND S WELLER ST,0,Unknown,NA,0,0,0,0,0,0,0,2020/07/12 00:00:00+00,NA,NA,NA,NA,NA,Y
218449,Block,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2020/06/22 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218450,Block,RENTON AVE S BETWEEN S FOUNTAIN ST AND S FOUNTAIN PL,2,Injury Collision,Rear Ended,2,0,0,2,1,0,0,2020/10/03 00:00:00+00,N,Overcast,Dry,Daylight,NA,N
218451,Block,HARBOR AVE SW BETWEEN ALKI AVE SW AND SW CALIFORNIA PL,1,Property Damage Only Collision,Parked Car,4,0,0,3,0,0,0,2020/06/22 00:00:00+00,N,Clear,Dry,Dusk,NA,Y
218452,Intersection,3RD AVE AND SPRING ST,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2020/07/20 00:00:00+00,N,Clear,Dry,Dark - Street Lights On,NA,N
218453,Intersection,MIDVALE AVE N AND N 145TH ST,2,Injury Collision,Angles,2,0,0,2,1,0,0,2020/06/10 00:00:00+00,N,Clear,Dry,Daylight,NA,N
